username,hostname,
Blossom.Breeze,server01examplecom,
PineCone.Pixie,webapp01.example.com,
Riverstone.Rambler,db01.example.com,
Sunflower.Soul,backup01.example.com,
Frosty.Fern,mail01.example.com,
Byte.Wizard,vpn01.example.com,
Code.Crusader,dev01.example.com,
Cyber.Ninja,test01.example.com,
Quantum.Quester,ns1.example.com,
Pixel.Pioneer,ns2.example.com,
Dragon.Rider,mobile01.example.com,
Phoenix.Feather,iot01.example.com,
Mystic.Mage,file01.example.com,
Elven.Echo,app01.example.com,
Serpent.Sorcere,cloud01.example.com,
Jedi.Master,desktop01.example.com,
Stark.Fanatic,laptop01.example.com,
Potterhead.Pro,router01.example.com,
Marvel.Maven,switch01.example.com,
Whovian.Wanderer,printer01.example.com,
Purbita.sen,laptop-e7ac594q,
sourav.mandal,LAPTOP-E7AC594Q,
sreedipta.karmakar,LAPTOP-OHL04DIG,
